-386987,579436
-555725,832118
-124152,-715660
-690425,362634
-97885,219148
144946,251827
-630775,211817
967917,112370
-691806,514611
346730,453002
-168663,587035
-949669,656221
-875369,-607298
859125,898295
-110112,-259625
371995,-652471
-167082,221343
-190697,475031
-62067,828316
-889,-376120
983418,-552182
450477,-657790
-917415,184973
837444,587905
-325600,-762657
237689,535738
880406,675867
-51987,-436191
988373,235889
893680,-243096
428069,-703467
807724,35478
-314487,304731
356821,-74335
-750202,-228833
665024,974190
210080,748247
-991343,-673448
376915,-597121
-148951,-987670
-808753,516641
590976,-932956
161789,-619437
-109980,46371
310970,-637868
827668,920435
-517557,472061
-976083,-256243
-772884,210971
-143927,934973
-70763,-946520
-509243,-161797
799665,-473679
-394114,-426013
414426,-286549
59144,773535
500858,-158462
-609787,999040
-461912,-632087
793884,-878448
352127,979302
-921667,-634560
-437461,-301501
-591389,-418301
-93115,-106281
-621673,-752942
385029,-761099
155899,-395164
-374467,575105
726017,977590
-795444,-875183
809836,21420
-127701,-281521
34464,-22012
-783111,-436757
831921,952629
-44086,-283067
-260657,-200159
591694,110016
647788,471071
-752592,943041
965054,-906881
859990,870365
822994,-715974
999041,-982583
182742,603470
-713486,-824143
-811566,513153
-456195,-210686
633919,623173
493538,438351
-670677,-149530
648466,886206
-6028,343330
-683825,-814316
327469,766610
-493648,476173
99346,956088
910791,872708
-538590,191142
-593700,278717
622048,-656614
-470930,-949088
715698,-409871
-886044,368737
324825,540153
-929213,-102154
293296,650032
928750,189477
-846091,-355023
820463,-690640
100511,-279244
-164334,-664183
720688,-648331
-750486,607269
-773653,-288917
-478394,-482911
354286,-658929
-865921,-822334
617931,-5475
186011,-506694
-155025,-545256
668877,-707010
995927,-429129
428392,-947192
122473,473016
-811702,-184691
706519,489576
-512622,-516027
-577635,-904886
611896,-71509
16990,383034
-330226,-913654
903022,-701842
402885,944977
950905,-388961
-904988,-833868
738754,-253390
324899,-450884
-833919,-73323
-986977,564389
-266231,606995
-551972,781787
-170748,296807
647027,130284
-383674,-836552
803789,727611
-317286,903142
467531,458
607453,831693
129832,-214103
-27263,177765
308050,85
352990,-345561
-589525,-32520
-935662,-694452
-694911,438043
786088,-88890
819345,189502
-367268,658227
174665,-646379
508293,865452
-897973,-60681
-755133,764761
-719156,-406488
11730,763255
952758,670372
328599,263991
-426723,460498
325951,264409
-325090,102871
383984,-327092
249933,-831733
-594989,-578608
-248980,-319480
99823,961229
421727,177171
957933,-559804
-179028,578218
-905310,-958924
-307009,823595
-402203,-58702
-378182,899278
860507,-407719
-584890,-15171
-91327,-66924
645142,770854
246130,48577
872173,188011
246713,970292
869570,252435
-660154,656510
188033,-107634
174558,195475
-966329,415788
464366,-657609
-845620,-769794
-740086,-118235
-370670,885539
-58402,-417456
41442,-129145
-840972,-108217
-40357,-987614
161575,-850769
-620564,33938
-152173,365814
767706,891802
-825610,-894945
540442,631044
255613,667811
171778,-273885
-124655,-223716
-257654,989134
871300,657937
66091,551748
-446694,54010
-201406,-874513
-58676,589971
863856,-135443
359160,937061
926195,-905008
79297,24722
576471,-417968
-988330,828549
-703062,-895204
-485175,465153
-116948,105057
-42118,-103978
-525338,-184973
-726048,-267719
685687,819818
648367,885041
-780246,-575918
-557423,-654418
759476,501053
121383,-792459
493784,633829
-901548,-34083
-370253,-397091
-798485,-706768
282686,-548628
719398,524014
-541419,214016
-522827,148489
298670,593583
-144018,307852
-221295,114115
-337235,-968352
516980,991720
-515734,-39918
-770287,61130
725971,-62182
-655765,-95227
-403079,561368
-191835,396004
-364356,275370
-783442,674429
-230700,-382024
-959506,-625340
203874,-669236
-764463,967681
45401,-522534
-434891,-501479
776850,948003
-138784,347355
-245731,-281206
906547,-213629
-882865,149888
633921,178540
-217426,-188546
-690026,715571
179926,681205
-28560,-952045
749604,-91370
821351,919298
69186,-285689
-980581,264526
-453073,-815341
-530912,850946
532151,-735255
203653,-750447
358170,-347234
266532,408684
-694374,-333394
-597921,453959
-269300,272345
123291,-902180
637435,606006
-872806,83861
-947447,436457
361494,359643
-209390,-653932
-107891,-152843
-941540,-117806
536338,-270213
392571,-452781
-52994,-358263
-794721,-455907
-331902,345880
-999812,-8314
677509,-239612
-873770,727705
514270,-920507
-373288,664152
22415,184924
-640831,222905
568785,-767194
775509,378982
134946,-226602
-470659,-755949
-676456,-551763
-215915,-580342
-281618,484511
707417,610579
377773,958266
-337248,-619212
362167,711073
467022,448793
-516909,258583
-355277,-767363
-768226,-608383
218962,-519937
478204,694758
-830322,-905375
616448,833967
282761,392128
650711,34636
-318351,-52706
-661089,-751285
787574,895827
-106937,-808564
-230291,-917934
-751902,-704121
-96249,771622
806258,-915883
484941,461239
-728876,-322463
-218290,-84628
-893192,412516
-330451,-908588
129061,482193
253815,-533109
448992,306978
768217,944924
-267388,171454
256082,344830
757347,589745
-14685,308390
306935,385279
-918388,890382
197360,-870913
-815837,-446687
134493,-541624
-402807,412514
2259,878016
702758,-999863
-385142,78802
485536,256674
-643939,70337
33376,-692905
750881,144610
557124,-647349
-525365,-110850
110713,-318777
-913931,-873667
-646693,568408
-638745,-312596
521853,-326115
-470725,-914786
562135,-289322
400172,261671
-96800,-135201
8868,387887
472647,41617
-354213,-729307
55422,-139855
570993,124281
-413603,239340
17363,-634366
769567,-913163
-817402,-51444
-93061,-445600
691259,217658
-873865,21200
-145481,-408586
-647926,380376
-531094,-279283
-708798,-420700
988496,94854
-56806,734044
951702,917583
455135,316633
-725219,397469
294198,114322
909957,883297
-820349,270459
881665,477559
211603,484645
918580,-697638
-14271,-292004
-205826,199441
830115,-249185
-132482,326
787137,-536490
-14049,-201138
-685783,-810165
507803,443241
-251597,-17817
-733610,955962
-205147,831820
348498,211684
-264526,-84844
285982,-928066
738231,474947
918188,135966
-153783,95082
567396,133713
481885,-820327
-548363,-949692
550888,803162
-247580,-661101
-136048,-933819
-586137,65362
676796,883936
17649,143842
480521,708670
-174714,844993
164508,482294
143395,-403811
853982,-695153
760515,-590407
990696,-356410
16605,280000
-505023,-903206
748199,-433192
915486,-516
-404328,788104
999609,-221061
327821,-911174
267584,-944348
740701,383798
-287004,889087
-322279,847153
-364022,854467
158923,-184028
921442,-241442
668968,-665150
125851,443698
827497,-67466
-472905,-554089
-917595,-679377
-50196,362302
-62683,-592979
350774,351719
-533221,350224
793922,-726094
-309912,670604
-224694,-951034
146763,127306
5960,-506577
615908,839141
-707212,-351564
701788,-491776
217870,-457834
-644791,-918459
385846,-437660
-81318,984736
491313,-684705
40198,757746
109311,-93033
584809,920054
-894240,-489349
924160,739176
176836,969346
954082,-604889
-805947,-50410
808157,175577
-784962,-97752
-534158,100786
106487,-601026
340202,408650
894349,-732326
-337215,186033
236443,911852
87429,-615568
713320,272396
889534,-996374
113752,-676010
-601013,432730
-681408,327946
513979,186676
-98528,-700150
315718,338851
611247,-365919
878645,-17801
693811,72527
21609,482754
810700,-166684
-869712,-432484
132635,-935532
274384,-761603
-643874,-335668
353469,-915919
